latitude,affiliate_id,name,longitude
52.986375,12,Yosef Giles,-6.043701
51.92893,1,Lance Keith,-10.27699
51.8856167,2,Mohamed Bradshaw,-10.4240951
52.3191841,3,Rudi Palmer,-8.5072391
53.807778,28,Macsen Freeman,-7.714444
53.4692815,7,Mikaeel Fenton,-9.436036
54.0894797,8,Addison Lister,-6.18671
53.038056,26,Moesha Bateman,-7.653889
54.1225,27,Roan Estes,-8.143333
53.1229599,6,Jez Greene,-6.2705202
52.2559432,9,Macaulay Melia,-7.1048927
52.240382,10,Maja Blevins,-6.972413
53.2451022,4,Inez Blair,-6.238335
53.1302756,5,Sharna Marriott,-6.2397222
53.008769,11,Isla-Rose Hubbard,-6.1056711
53.1489345,31,Maisha Mccarty,-6.8422408
53,13,Terence Wall,-7
51.999447,14,Zakariyah Bean,-9.742744
52.966,15,Veronica Haines,-6.463
52.366037,16,Linzi Carver,-8.179118
54.180238,17,Gino Partridge,-5.920898
53.0033946,39,Kirandeep Browning,-6.3877505
52.228056,18,Gwen Rankin,-7.915833
54.133333,24,Ellena Olson,-6.433333
55.033,19,Aleisha Hayward,-8.112
53.521111,20,Hadiya Terrell,-9.831111
51.802,21,Keanu Oliver,-9.442
54.374208,22,Shayna Potts,-8.371639
53.74452,29,Alvin Stamp,-7.11167
53.761389,30,Kingsley Vang,-7.2875
54.080556,23,Ciara Bannister,-6.361944
52.833502,25,Tasneem Wolfe,-8.522366
